Node#, timeConnected, timeChannelSwitched
2, 0.0699501, 1.02742
4, 5.26946, 5.26946
6, 7.13674, 7.13674
7, 7.58328, 7.59812
3, 7.68721, 7.86032
5, 8.22258, 8.23331
8, 11.453, 11.453
9, 15.3582, 15.3582
10, 15.5548, 15.5548
11, 20.6935, 20.977
12, 21.208, 21.208
13, 25.0841, 25.0841
14, 25.1197, 25.1197
15, 56.7986, 56.7986
16, 56.7988, 56.7988
17, 57.5591, 57.5591
18, 59.3364, 59.3364
21, 77.9256, 77.9256
22, 77.9265, 77.9265
20, 77.9276, 77.9276
19, 77.9295, 77.9295
24, 85.0035, 85.0035
23, 85.0056, 85.0056
25, 85.0066, 85.0066
26, 85.1514, 85.6083
27, 85.1515, 86.0195
28, 86.1452, 87.017
29, 87.2802, 87.8448
30, 87.8727, 88.3071
31, 87.8784, 88.5256
32, 87.9562, 89.0164
33, 88.3148, 89.3945
34, 88.657, 89.8685
35, 89.0329, 89.8714
