Node#, timeConnected, timeChannelSwitched
2, 0.0699501, 1.02742
4, 5.26946, 5.26946
6, 7.13674, 7.13674
7, 7.58328, 7.59812
3, 7.68721, 7.86032
5, 8.22258, 8.23331
8, 11.453, 11.453
9, 15.3582, 15.3582
10, 15.5548, 15.5548
11, 20.6935, 20.977
12, 21.208, 21.208
13, 25.0841, 25.0841
14, 25.1197, 25.1197
15, 56.7986, 56.7986
16, 56.7988, 56.7988
17, 57.5591, 57.5591
18, 59.3364, 59.3364
20, 70.8797, 70.8797
19, 70.8799, 70.8799
21, 77.9256, 77.9256
22, 77.9264, 77.9264
24, 85.0667, 85.0667
23, 85.0668, 85.0668
25, 91.8351, 91.8351
26, 92.2583, 92.2583
27, 97.2691, 97.2691
28, 101.94, 101.94
29, 103.062, 103.062
30, 104.986, 104.986
