Node#, time
2, 0.0243149
3, 0.0243753
4, 0.0245826
5, 0.0554223
6, 0.0554826
7, 0.055625
8, 0.0741282
9, 0.0762846
10, 0.161503
11, 0.222938
12, 0.223301
13, 0.282565
14, 0.28446
15, 0.28452
16, 0.622547
17, 0.835213
18, 1.0794
19, 1.28411
20, 1.54472
21, 1.78411
22, 2.04472
23, 2.05147
24, 2.0522
25, 2.05362
26, 2.0545
27, 2.05536
28, 2.05624
29, 2.05655
30, 2.05672
31, 2.05678
32, 2.05699
33, 2.05722
34, 2.05745
35, 2.05766
36, 2.05772
37, 2.05838
38, 2.05859
39, 2.05885
40, 2.05916
41, 2.05922
42, 2.05973
43, 2.05994
44, 2.06074
45, 2.06097
46, 2.06144
47, 2.06164
48, 2.06193
49, 2.0621
50, 2.06216
51, 2.06281
52, 2.06298
53, 2.06395
54, 2.0648
55, 2.06577
56, 2.06666
57, 2.06762
58, 2.06849
59, 2.06945
60, 2.07043
61, 2.07135
62, 2.0722
63, 2.07314
64, 2.07406
65, 2.07506
66, 2.07598
67, 2.07682
68, 2.07778
69, 2.07865
70, 2.07948
71, 2.11188
72, 2.11275
73, 2.11365
74, 2.11451
75, 2.14278
76, 2.14361
77, 2.14451
78, 2.14549
79, 2.14646
80, 2.14741
81, 2.14825
82, 2.18034
83, 2.21111
84, 2.49353
85, 2.71111
86, 2.98276
87, 3.00303
88, 3.00333
89, 3.22068
90, 3.25879
91, 3.34848
92, 3.46243
93, 3.54788
94, 3.78648
95, 4.2008
96, 4.20437
97, 4.21393
98, 4.52309
99, 4.70232
100, 5.02309
