Node#, time
2, 0.019019
3, 0.0241726
4, 0.0243149
5, 0.0470276
6, 0.055271
7, 0.055625
8, 0.0741282
9, 0.0762846
10, 0.0793864
11, 0.0793866
12, 0.0797405
13, 0.0881007
14, 0.089806
15, 0.0928709
16, 0.0929313
17, 0.0932811
18, 0.094788
19, 0.10546
20, 0.105663
21, 0.106292
22, 0.108132
23, 0.116233
24, 0.122531
25, 0.123088
26, 0.123236
27, 0.12615
28, 0.126208
29, 0.126958
30, 0.127357
31, 0.127417
32, 0.12859
33, 0.164087
34, 0.169324
35, 0.191759
36, 0.19545
37, 0.259345
38, 0.259699
39, 0.259976
40, 0.278421
41, 0.278624
42, 0.278822
43, 0.278822
44, 0.30463
45, 0.422502
46, 0.426018
47, 0.426363
48, 0.426423
49, 0.43481
50, 0.466569
51, 0.466772
52, 0.466772
53, 0.468009
54, 0.468151
55, 0.468894
56, 0.470659
57, 0.475902
58, 0.492111
59, 0.492171
60, 0.493056
61, 0.493198
62, 0.493907
63, 0.509213
64, 0.556708
65, 0.556769
66, 0.556994
67, 0.557163
68, 0.58632
69, 0.587292
70, 0.690799
71, 0.690859
72, 0.691002
73, 0.767277
74, 0.767277
75, 0.784516
76, 0.89944
77, 0.89944
78, 0.961738
79, 1.00053
80, 1.00074
81, 1.20406
