Node#, time
2, 0.325416
3, 0.325567
4, 2.07598
5, 2.14321
6, 4.12398
7, 6.15002
8, 6.21813
9, 6.22028
10, 8.26613
11, 10.2647
12, 10.2765
13, 10.2859
14, 10.3067
15, 10.3288
16, 12.3547
17, 12.3768
18, 14.3498
19, 14.397
20, 16.4044
21, 18.4346
22, 18.4524
23, 18.4543
24, 18.4768
25, 18.5211
26, 18.5303
27, 20.5533
28, 22.5507
29, 22.6013
30, 22.6027
31, 22.6114
32, 26.6822
33, 26.6838
34, 28.7302
35, 28.7318
36, 30.7222
37, 30.7265
38, 30.7452
39, 30.8198
40, 34.8351
41, 34.8721
42, 36.8831
43, 36.9201
44, 38.9204
45, 38.9803
46, 43.0307
47, 43.0681
48, 43.078
49, 45.1161
50, 45.126
51, 47.126
52, 47.1531
53, 51.222
54, 51.2425
55, 51.2861
56, 51.2875
57, 55.3419
58, 55.3835
59, 57.4272
60, 59.4254
61, 59.4517
62, 59.4879
63, 61.4997
64, 63.4947
65, 63.5134
66, 63.528
67, 63.5297
68, 63.5461
69, 63.5484
70, 67.6083
71, 67.6444
72, 69.6563
73, 69.7185
74, 69.731
75, 71.6812
76, 71.779
77, 75.7772
78, 75.8262
79, 75.8569
80, 77.8742
81, 77.9232
82, 79.8839
83, 79.9029
84, 79.9534
85, 79.9545
86, 84.0252
87, 84.0505
88, 84.0653
89, 88.0668
90, 88.097
91, 88.1412
92, 92.193
93, 92.2372
94, 94.2428
95, 94.2474
96, 96.2612
97, 96.2954
98, 96.3541
99, 98.3821
100, 98.4021
