Node#, time
9, 0.0287349
17, 0.0287349
16, 0.0287351
23, 0.0418653
22, 0.0447748
24, 0.0447748
30, 0.0447748
31, 0.044775
18, 0.0569207
32, 0.0581776
40, 0.0581776
25, 0.0581778
39, 0.0581778
33, 0.0598097
41, 0.0598097
28, 0.0598098
42, 0.0598098
47, 0.0601382
49, 0.0601382
19, 0.0609862
10, 0.0609863
37, 0.0683171
43, 0.0683171
45, 0.0683171
38, 0.0683172
48, 0.0700473
27, 0.0733262
35, 0.0733262
20, 0.0733263
34, 0.0733263
29, 0.0834345
36, 0.0834346
15, 0.088759
11, 0.0952145
12, 0.0952146
26, 0.0982957
46, 0.0998341
2, 0.325416
3, 0.325567
44, 2.05023
13, 2.05064
21, 2.05064
14, 2.05064
4, 2.06702
5, 2.07272
6, 2.07272
7, 2.08449
8, 2.08869
