Node#, timeConnected, timeChannelSwitched
2, 0.325416, 0.325416
3, 3.14146, 3.14146
4, 6.20238, 6.20238
5, 11.0235, 11.0235
6, 14.262, 14.262
7, 17.1061, 17.1061
8, 20.5023, 20.5023
9, 23.2068, 23.2068
10, 24.6648, 24.6648
11, 33.2121, 33.2121
12, 35.6703, 35.6703
13, 35.8751, 35.8751
14, 37.6697, 37.6697
15, 39.8248, 39.8248
16, 59.008, 59.008
17, 65.5607, 65.5607
18, 65.5607, 65.5607
19, 69.6458, 69.6458
20, 71.0045, 71.0045
21, 71.0045, 71.0045
22, 71.1631, 71.1631
23, 75.2082, 75.2082
24, 75.2082, 75.2082
25, 75.3059, 75.3059
26, 83.6646, 83.6646
27, 95.6694, 95.6694
28, 95.8742, 95.8742
29, 95.8742, 95.8742
30, 95.8742, 95.8742
31, 95.8742, 95.8742
32, 95.8742, 95.8742
33, 95.8742, 95.8742
34, 95.8742, 95.8742
35, 99.8239, 99.8239
36, 99.8239, 99.8239
37, 99.8239, 99.8239
38, 99.8239, 99.8239
39, 99.8239, 99.8239
40, 120.49, 120.49
41, 231.008, 231.008
42, 231.008, 231.008
43, 231.008, 231.008
44, 231.008, 231.008
45, 231.008, 231.008
46, 231.008, 231.008
47, 231.008, 231.008
48, 231.008, 231.008
49, 231.008, 231.008
50, 231.008, 231.008
51, 231.008, 231.008
52, 231.008, 231.008
53, 231.008, 231.008
54, 833.031, 833.031
55, 833.031, 833.031
56, 833.031, 833.031
57, 833.031, 833.031
58, 833.031, 833.031
59, 833.031, 833.031
60, 833.032, 833.032
61, 833.033, 833.033
62, 833.033, 833.033
63, 833.033, 833.033
64, 833.033, 833.033
65, 833.033, 833.033
66, 833.033, 833.033
67, 833.033, 833.033
68, 833.033, 833.033
69, 833.033, 833.033
70, 833.033, 833.033
71, 833.035, 833.035
72, 833.036, 833.036
73, 833.036, 833.036
74, 833.036, 833.036
75, 833.036, 833.036
76, 833.036, 833.036
77, 833.036, 833.036
78, 833.036, 833.036
79, 833.036, 833.036
80, 833.036, 833.036
81, 833.036, 833.036
82, 833.036, 833.036
83, 833.036, 833.036
84, 833.036, 833.036
85, 833.036, 833.036
86, 833.036, 833.036
87, 833.036, 833.036
88, 833.036, 833.036
89, 833.036, 833.036
90, 833.036, 833.036
91, 833.036, 833.036
92, 833.036, 833.036
93, 833.036, 833.036
94, 833.036, 833.036
95, 833.036, 833.036
96, 833.036, 833.036
97, 833.036, 833.036
98, 833.036, 833.036
99, 833.036, 833.036
100, 833.036, 833.036
