Node#, timeConnected, timeChannelSwitched
2, 0.325416, 0.325416
12, 3.0506, 3.0506
22, 3.05155, 3.05155
23, 30.726, 30.726
32, 30.726, 30.726
21, 30.726, 30.726
24, 30.7332, 30.7332
33, 30.7332, 30.7332
13, 30.7332, 30.7332
30, 30.7332, 30.7332
42, 30.7332, 30.7332
52, 30.7332, 30.7332
31, 30.7332, 30.7332
62, 30.7332, 30.7332
73, 30.7332, 30.7332
51, 30.7332, 30.7332
84, 30.7332, 30.7332
72, 30.7332, 30.7332
83, 30.7332, 30.7332
95, 30.7332, 30.7332
71, 30.7332, 30.7332
82, 30.7332, 30.7332
93, 30.7332, 30.7332
92, 30.7332, 30.7332
35, 30.7338, 30.7338
39, 30.7338, 30.7338
14, 30.7338, 30.7338
46, 30.7338, 30.7338
48, 30.7338, 30.7338
40, 30.7338, 30.7338
45, 30.7338, 30.7338
57, 30.7338, 30.7338
58, 30.7338, 30.7338
44, 30.7338, 30.7338
50, 30.7338, 30.7338
55, 30.7338, 30.7338
59, 30.7338, 30.7338
43, 30.7338, 30.7338
54, 30.7338, 30.7338
60, 30.7338, 30.7338
67, 30.7338, 30.7338
66, 30.7338, 30.7338
68, 30.7338, 30.7338
65, 30.7338, 30.7338
53, 30.7338, 30.7338
77, 30.7338, 30.7338
76, 30.7338, 30.7338
75, 30.7338, 30.7338
79, 30.7338, 30.7338
63, 30.7338, 30.7338
74, 30.7338, 30.7338
86, 30.7338, 30.7338
89, 30.7338, 30.7338
90, 30.7338, 30.7338
61, 30.7338, 30.7338
96, 30.7338, 30.7338
99, 30.7338, 30.7338
81, 30.7338, 30.7338
64, 30.7365, 30.7365
85, 30.7365, 30.7365
94, 30.7365, 30.7365
91, 30.7365, 30.7365
41, 30.7365, 30.7365
56, 30.7365, 30.7365
34, 30.7365, 30.7365
87, 30.7365, 30.7365
97, 30.7365, 30.7365
36, 30.7365, 30.7365
47, 30.7365, 30.7365
78, 30.7365, 30.7365
88, 30.7365, 30.7365
25, 30.7365, 30.7365
98, 30.7365, 30.7365
37, 30.7365, 30.7365
26, 30.7365, 30.7365
69, 30.7365, 30.7365
15, 30.7365, 30.7365
27, 30.7365, 30.7365
38, 30.7365, 30.7365
16, 30.7365, 30.7365
80, 30.7365, 30.7365
28, 30.7365, 30.7365
70, 30.7365, 30.7365
17, 30.7365, 30.7365
100, 30.7365, 30.7365
18, 30.7365, 30.7365
29, 30.7365, 30.7365
19, 30.7365, 30.7365
20, 30.7365, 30.7365
3, 38.9172, 38.9172
4, 42.4877, 42.4877
5, 42.4877, 42.4877
49, 51.2891, 51.2891
6, 63.5007, 63.5007
7, 67.3082, 67.3082
8, 79.3048, 79.3048
9, 83.6646, 83.6646
10, 95.6694, 95.6694
11, 108.011, 108.011
