MCS_value, Channel_width_MHz,  short_GI, Throughput_Mbits_per_s,  Distance_m,Protocol
0,		20 , 		0,		5.34486 , 		1,tcp
0,		20 , 		1,		5.92985 , 		1,tcp
0,		40 , 		0,		11.0743 , 		1,tcp
0,		40 , 		1,		12.3613 , 		1,tcp
1,		20 , 		0,		10.7557 , 		1,tcp
1,		20 , 		1,		11.8597 , 		1,tcp
1,		40 , 		0,		22.415 , 		1,tcp
1,		40 , 		1,		24.5963 , 		1,tcp
2,		20 , 		0,		16.1076 , 		1,tcp
2,		20 , 		1,		17.9482 , 		1,tcp
2,		40 , 		0,		33.5183 , 		1,tcp
2,		40 , 		1,		37.6005 , 		1,tcp
3,		20 , 		0,		21.6864 , 		1,tcp
3,		20 , 		1,		23.6267 , 		1,tcp
3,		40 , 		0,		45.2274 , 		1,tcp
3,		40 , 		1,		49.9861 , 		1,tcp
4,		20 , 		0,		32.587 , 		1,tcp
4,		20 , 		1,		35.9278 , 		1,tcp
4,		40 , 		0,		66.4632 , 		1,tcp
4,		40 , 		1,		73.541 , 		1,tcp
5,		20 , 		0,		43.1272 , 		1,tcp
5,		20 , 		1,		48.0423 , 		1,tcp
5,		40 , 		0,		87.1962 , 		1,tcp
5,		40 , 		1,		96.4148 , 		1,tcp
6,		20 , 		0,		48.9621 , 		1,tcp
6,		20 , 		1,		53.759 , 		1,tcp
6,		40 , 		0,		96.9616 , 		1,tcp
6,		40 , 		1,		107.489 , 		1,tcp
7,		20 , 		0,		54.1019 , 		1,tcp
7,		20 , 		1,		59.9901 , 		1,tcp
7,		40 , 		0,		107.662 , 		1,tcp
7,		40 , 		1,		118.442 , 		1,tcp
0,		20 , 		0,		5.31821 , 		2,tcp
0,		20 , 		1,		5.92637 , 		2,tcp
0,		40 , 		0,		11.0882 , 		2,tcp
0,		40 , 		1,		12.4007 , 		2,tcp
1,		20 , 		0,		10.6712 , 		2,tcp
1,		20 , 		1,		11.9512 , 		2,tcp
1,		40 , 		0,		22.2702 , 		2,tcp
1,		40 , 		1,		24.7944 , 		2,tcp
2,		20 , 		0,		16.0137 , 		2,tcp
2,		20 , 		1,		17.9216 , 		2,tcp
2,		40 , 		0,		33.8658 , 		2,tcp
2,		40 , 		1,		37.7789 , 		2,tcp
3,		20 , 		0,		21.1292 , 		2,tcp
3,		20 , 		1,		24.0461 , 		2,tcp
3,		40 , 		0,		44.4745 , 		2,tcp
3,		40 , 		1,		50.19 , 		2,tcp
4,		20 , 		0,		32.1421 , 		2,tcp
4,		20 , 		1,		35.9834 , 		2,tcp
