MCS_value, Channel_width_MHz,  Short_GI, Throughput_Mbits_per_s,Distance_m,Protocol
0,		20 , 		0,6.0246, 		1,udp
0,		20 , 		1,		6.67464 , 		1,udp
0,		40 , 		0,		12.4896 , 		1,udp
0,		40 , 		1,		13.9027 , 		1,udp
1,		20 , 		0,		12.0739 , 		1,udp
1,		20 , 		1,		13.4105 , 		1,udp
1,		40 , 		0,		25.0829 , 		1,udp
1,		40 , 		1,		27.8785 , 		1,udp
2,		20 , 		0,		18.0997 , 		1,udp
2,		20 , 		1,		20.1181 , 		1,udp
2,		40 , 		0,		37.6067 , 		1,udp
2,		40 , 		1,		41.806 , 		1,udp
3,		20 , 		0,		24.1644 , 		1,udp
3,		20 , 		1,		26.8764 , 		1,udp
3,		40 , 		0,		50.1976 , 		1,udp
3,		40 , 		1,		55.6663 , 		1,udp
4,		20 , 		0,		36.2583 , 		1,udp
4,		20 , 		1,		40.2833 , 		1,udp
4,		40 , 		0,		74.5515 , 		1,udp
4,		40 , 		1,		82.5191 , 		1,udp
5,		20 , 		0,		48.3546 , 		1,udp
5,		20 , 		1,		53.6373 , 		1,udp
5,		40 , 		0,		98.4321 , 		1,udp
5,		40 , 		1,		108.801 , 		1,udp
6,		20 , 		0,		54.2673 , 		1,udp
6,		20 , 		1,		60.1624 , 		1,udp
6,		40 , 		0,		110.057 , 		1,udp
6,		40 , 		1,		121.725 , 		1,udp
7,		20 , 		0,		60.133 , 		1,udp
7,		20 , 		1,		66.6675 , 		1,udp
7,		40 , 		0,		121.847 , 		1,udp
7,		40 , 		1,		134.627 , 		1,udp
0,		20 , 		0,		6.02342 , 		2,udp
0,		20 , 		1,		6.68052 , 		2,udp
0,		40 , 		0,		12.4967 , 		2,udp
0,		40 , 		1,		13.9122 , 		2,udp
1,		20 , 		0,		12.0669 , 		2,udp
1,		20 , 		1,		13.4058 , 		2,udp
1,		40 , 		0,		25.0829 , 		2,udp
1,		40 , 		1,		27.8738 , 		2,udp
2,		20 , 		0,		18.1056 , 		2,udp
2,		20 , 		1,		20.1264 , 		2,udp
2,		40 , 		0,		37.6255 , 		2,udp
2,		40 , 		1,		41.806 , 		2,udp
3,		20 , 		0,		24.162 , 		2,udp
3,		20 , 		1,		26.8717 , 		2,udp
3,		40 , 		0,		50.1764 , 		2,udp
3,		40 , 		1,		55.6593 , 		2,udp
4,		20 , 		0,		36.2677 , 		2,udp
4,		20 , 		1,		40.2669 , 		2,udp
4,		40 , 		0,		74.5232 , 		2,udp
4,		40 , 		1,		82.4897 , 		2,udp
5,		20 , 		0,		48.3723 , 		2,udp
5,		20 , 		1,		53.6361 , 		2,udp
5,		40 , 		0,		98.4438 , 		2,udp
5,		40 , 		1,		108.835 , 		2,udp
6,		20 , 		0,		54.2662 , 		2,udp
6,		20 , 		1,		60.1506 , 		2,udp
6,		40 , 		0,		110.099 , 		2,udp
6,		40 , 		1,		121.785 , 		2,udp
7,		20 , 		0,		60.1966 , 		2,udp
7,		20 , 		1,		66.6498 , 		2,udp
7,		40 , 		0,		121.71 , 		2,udp
7,		40 , 		1,		134.504 , 		2,udp
0,		20 , 		0,		6.0246 , 		3,udp
0,		20 , 		1,		6.67346 , 		3,udp
0,		40 , 		0,		12.4967 , 		3,udp
0,		40 , 		1,		13.911 , 		3,udp
1,		20 , 		0,		12.0728 , 		3,udp
1,		20 , 		1,		13.4023 , 		3,udp
1,		40 , 		0,		25.0687 , 		3,udp
1,		40 , 		1,		27.8903 , 		3,udp
2,		20 , 		0,		18.1103 , 		3,udp
2,		20 , 		1,		20.1075 , 		3,udp
2,		40 , 		0,		37.6302 , 		3,udp
2,		40 , 		1,		41.8001 , 		3,udp
3,		20 , 		0,		24.1549 , 		3,udp
3,		20 , 		1,		26.8669 , 		3,udp
3,		40 , 		0,		50.2211 , 		3,udp
3,		40 , 		1,		55.6758 , 		3,udp
4,		20 , 		0,		36.2665 , 		3,udp
4,		20 , 		1,		40.2822 , 		3,udp
4,		40 , 		0,		74.5515 , 		3,udp
4,		40 , 		1,		82.5592 , 		3,udp
5,		20 , 		0,		48.357 , 		3,udp
5,		20 , 		1,		53.6208 , 		3,udp
5,		40 , 		0,		98.392 , 		3,udp
5,		40 , 		1,		108.836 , 		3,udp
6,		20 , 		0,		54.2968 , 		3,udp
6,		20 , 		1,		60.1235 , 		3,udp
6,		40 , 		0,		110.075 , 		3,udp
6,		40 , 		1,		121.776 , 		3,udp
7,		20 , 		0,		60.1895 , 		3,udp
7,		20 , 		1,		66.6345 , 		3,udp
7,		40 , 		0,		121.849 , 		3,udp
7,		40 , 		1,		134.495 , 		3,udp
0,		20 , 		0,		6.02225 , 		4,udp
