N,Convergence (s),Metric,comment,N,N*[C(1)/C]-1
2,1.001,Airtime,,2,1
2x2,0.009,Airtime,,4,443.8888888889
3x3,1.208,Airtime,,9,6.457781457
4x4,1.0046,Airtime,no clue why it reduces,16,14.9426637468
5x5,1.009,Airtime,,25,23.8017839445
6x6,1.011,Airtime,,36,34.6439169139
7x7,1.011,Airtime,,49,47.5153313551
8x8,1.013,Airtime,,64,62.2418558736
9x9,1.016,Airtime,,81,78.8041338583
10x10,1.019,Airtime,,100,97.233562316
,,,,,#DIV/0!
,,,,,#DIV/0!
2,1.001,a_Airtime,,2,1
2x2,0.009,a_Airtime,,4,443.8888888889
3x3,1.208,a_Airtime,,9,6.457781457
4x4,1.0046,a_Airtime,,16,14.9426637468
5x5,1.008,a_Airtime,,25,23.8263888889
6x6,1.011,a_Airtime,,36,34.6439169139
7x7,1.011,a_Airtime,,49,47.5153313551
8x8,1.013,a_Airtime,,64,62.2418558736
9x9,1.015,a_Airtime,,81,78.8827586207
10x10,1.017,a_Airtime,,100,97.4267453294
11x11,1.019,a_Airtime,,,
15x15,1.026,a_Airtime,,,
20x20,,,,,
