metric,time,throughput_kbps,delay,loss,jitter
olsr,1,2054.754319253,0.0007537783,0,5.5288833186514E-06
olsr,2,2054.7393452901,0.0015310025,0,5.20936822295187E-05
olsr,3,0,,,
olsr,4,0,,,
olsr,5,0,,,
olsr,6,0,,,
aodv,1,2038.6289199908,0.0009760578,0,1.97554736056179E-05
aodv,2,0,,,
aodv,3,0,,,
aodv,4,0,,,
aodv,5,0,,,
aodv,6,0,,,
hwmp,1,204.2305522529,0.6729410997,0,0.0768959585
hwmp,2,284.8819556825,0.7848244229,0.289017341,0.078672338
hwmp,3,161.2741776101,0.5340310454,0.5154639175,0.0492180079
hwmp,4,0,,,
hwmp,5,0,,,
hwmp,6,0,,,
m_hwmp,1,224.7079088246,0.6835393445,0,0.0693307448
m_hwmp,2,281.3675536245,0.8412680599,0,0.119790161
m_hwmp,3,162.8879082031,0.4745830133,0.7518796992,0.0558225131
m_hwmp,4,0,,,
m_hwmp,5,0,,,
m_hwmp,6,0,,,
