FlowID,TX bitrate (kbit/s),RX bitrate (kbit/s),meanDelay [s],PacketLoss (%),Throughput (kbps),Mean jitter (s),Protocol
1,7.29352296061633,7.297440344133581,0.00034731844670050764,0.0,7.122478428392951,6.814591836734694e-05,UDP
2,7.293904640290257,7.2950731100861566,0.0003188479282051282,0.0,7.122850099434479,4.911936082474227e-05,UDP
3,7.294098446549543,7.296741885794705,0.00034021475773195875,0.0,7.123038823548016,7.157749222797928e-05,UDP
4,7.294294271624023,7.297758849744355,0.00034176057512953366,0.0,7.1232295135088215,6.328083854166666e-05,UDP
5,7.294294271624023,7.298151245518317,0.0003427342694300518,0.0,7.1232295135088215,5.9787625000000005e-05,UDP
6,7.294492147222834,7.297992509714746,0.00035455402083333336,0.0,7.123422200193623,6.482238743455498e-05,UDP
7,7.2946921057226755,7.2966426982812616,0.000322661219895288,0.0,7.123616915129171,4.592481052631579e-05,UDP
8,7.294894180185469,7.296763771552803,0.0003212602315789474,0.0,7.123813690509443,4.4236412698412704e-05,UDP
9,7.2953048127836295,7.297191601963569,0.00031499338829787233,0.0,7.12421355482321,3.140213903743316e-05,UDP
10,7.2953048127836295,7.2965711295609,0.00031233099468085107,0.0,7.12421355482321,3.4671550802139034e-05,UDP
